[2025-07-08 09:39:56 : INFO] - Cache for archive page associated with post_type: products and Title: "Doppelstabmattenzaun Goliath 8/6/8 mm" has been purged, triggered by action: save_post 
[2025-07-08 09:45:40 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:45:40 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:45:41 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:45:41 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:46:21 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:46:21 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:46:22 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:46:22 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:47:07 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:47:07 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:47:08 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:47:08 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:48:16 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:48:16 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:48:17 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:48:17 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:48:28 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:48:28 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:48:29 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:48:29 : INFO] - Cache for archive page associated with post_type: products and Title: "MASSIVE STAHLZÄUNE" has been purged, triggered by action: save_post 
[2025-07-08 09:50:07 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/massive-stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-08 09:50:07 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzaune" has been purged, triggered by action: save_post 
